iter	Passed	Remaining
275	4005	3250
276	4019	3235
277	4033	3220
278	4047	3205
279	4063	3192
280	4077	3178
281	4091	3163
282	4107	3149
283	4121	3134
284	4135	3120
285	4149	3104
286	4162	3089
287	4177	3074
288	4192	3060
289	4206	3046
290	4221	3031
291	4234	3016
292	4248	3001
293	4262	2986
294	4277	2972
295	4292	2958
296	4307	2943
297	4319	2927
298	4332	2912
299	4347	2898
300	4362	2884
301	4376	2869
302	4391	2855
303	4406	2841
304	4423	2827
305	4437	2813
306	4452	2799
307	4466	2784
308	4480	2769
309	4494	2754
310	4510	2740
311	4524	2726
312	4538	2711
313	4552	2696
314	4566	2681
315	4578	2666
316	4596	2653
317	4611	2639
318	4627	2625
319	4640	2610
320	4655	2595
321	4670	2581
322	4684	2567
323	4699	2552
324	4713	2538
325	4728	2523
326	4743	2509
327	4757	2494
328	4771	2480
329	4784	2464
330	4799	2450
331	4812	2435
332	4827	2421
333	4842	2406
334	4855	2391
335	4870	2377
336	4882	2361
337	4900	2348
338	4912	2333
339	4928	2319
340	4942	2304
341	4957	2290
342	4971	2275
343	4987	2261
344	5001	2247
345	5018	2233
346	5034	2219
347	5049	2205
348	5066	2191
349	5081	2177
350	5097	2163
351	5112	2149
352	5127	2135
353	5144	2121
354	5158	2106
355	5173	2092
356	5187	2077
357	5201	2063
358	5216	2048
359	5231	2034
360	5246	2019
361	5260	2005
362	5275	1991
363	5290	1976
364	5305	1962
365	5319	1947
366	5333	1932
367	5348	1918
368	5363	1903
369	5379	1890
370	5397	1876
371	5410	1861
372	5424	1846
373	5441	1833
374	5456	1818
375	5472	1804
376	5487	1790
377	5501	1775
378	5514	1760
379	5527	1745
380	5542	1731
381	5559	1717
382	5570	1701
383	5583	1686
384	5596	1671
385	5614	1658
386	5627	1643
387	5643	1629
388	5657	1614
389	5671	1599
390	5686	1585
391	5700	1570
392	5715	1556
393	5730	1541
394	5744	1527
395	5759	1512
396	5773	1497
397	5788	1483
398	5804	1469
399	5819	1454
400	5834	1440
401	5848	1425
402	5863	1411
403	5877	1396
404	5892	1382
405	5906	1367
406	5922	1353
